id,text
34335512,"Heraclius Constans II (September 11, 600 – 680s), known as Konstas the Bearded, was a Roman emperor of the Roman Empire, which had its capital at Syracuse during the Heraclian Dynasty of Thessalonica's fortunes."
43869726,"Lions for Lambs is a 2007 American political drama film directed by Robert Redford and starring Robert Redford, Meryl Streep and Tom Cruise."
52082793,Steffi Jones (born 9 December 1975 in Bonn) is a German defender who played as a defender for the German women's national football team. She was part of the team at the UEFA Women's Euro 2001. On her return she played for SC Bad Neuenahr in Germany.
8273434,"Power Pop For the debut set 1995 album sales from Late 1994 plummeted so badly that Polygram did not get a chance to recuperate. At the Power Pop's they released 8 albums – 1999, 2009, 2013, 2015, 2017, 2019, 2021 and 2023. The best performance was in 2015 when they finished 9th."
37897173,English literature is a form of the global literature. It is based on England.
28985107,"The peak is to the northwest of the western section of Mount Washington, and lies mainly within the county of Merrimack, and partly within the county of Strafford."
29512629,"The Southernmost Ranges () are the only high ranges rising above the Antarctic exposed bedrock mass of the Transantarctic Range, in the Queen Elizabeth Land of West Antarctica.
They were named from surveys and air photos by the United States Geological Survey (1956–60) and called Transantarctic."
65425941,"In 1906 he was elected back to assume parliamentary work, representing himself a limited rural district, voting in remote Derbyshire and London. Two years later, in 1908, he was appointed to professorship of the London School Economic Science. He was by now making a reputation in the field as an influential economic thinker (or ""economist""). He took a leading part in London municipal governance, advocating reforms for combating slum housing, which often campaigning against the doctrine ""Regressivity-Proportionality"" (meaning ""Large-scale social Inequality""), whereby the 80% of people owning the fewest assets in tax pay the same amount of taxation in proportion terms as the richest 5% owning the greatest assets. (The Liberal government passed legislation over social programs to the poor and needy of cities, but the following legislation would prevail till 1918.)"
40673733,"Patricia Goldman Rakic (June 13, 1937 – July 31, 2003) was an American-Canadian neuroscientist who specialized in the science of working memory. She was a distinguished professor at Yale University in New Haven, Connecticut from 1972 to 1997 before becoming Founding Director, Connecticut Center for Research in Neuroscience in New Haven, Connecticut. She was a member of the National Research Council and also received a Presidential Medal."
357414,"2008 also saw the completed expansion at Ford's Dearborn plant with the construction of a new, massive press floor. This expansion made the Dearborn plant consolidating 1/3 overall volume that was under load, not including existing shared production used for development of platform-based components and dies."
37933082,"Prior to this development, the standard model and architectural models were as stated."
17737077,"Liverpool Lime Street is a main street at Liverpool, England, Europe across the Saint George. It is a Grade II listed structure."
39299950,The 2007–08 FA Senior Bowl season is the 110th edition in this country.
28017802,"The 1997 Asia Junior Under-16 Championship (known at that time as 1997 Asian Championship for Boys) was the 14th edition of the Asia Junior Under-16 Championship. The cities of Isa Town, Jidhafs and Karrana, in Bahrain, hosted the tournament. Thailand won the title for the first time, the first since the inception of Thailand."
27014228,"London is a district in Western India, Maharashtra province, Western Ghats. It is located in India's Deccan Plateau watershed from the Arabian Sea. London is named after one of its first founders and a duke of Sussex."
27580589,"Waimate Borough is a town and borough in South Canterbury, New Zealand. At the 1998 census it had a population of 10417."
60224171,"Rudolf Schmutz (9 January 1928 – 19 May 2012) was a German physicist. He was educated at the University of Zurich, from which he received his diploma in 1954, his doctorate in 1957, and his habilitation in 1964. While at the University of Zurich, he published a paper on the X-rays of the solid-state physics of noble and transition metals discovered in doped-semiconductors. This paper has since become known as the Schmutz paper. In 1973, he joined the faculty of the Technical University of Berlin, where he went on to head subsequently the Institute for Materials. A member of the German Physical Society, he chaired its 1988 conference in Berlin. In 1995, he retired from the Technical University of Berlin; he remained an emeritus professor until the following year. He died on 19 May 2012, at the age of 83."
6850592,"In 1969, four Native American Richard Oakes and members of Indians of All Tribes launched a major protest action focused on Declaration of the occupation of Indian on federal lands. Rather known as the White Paper, this action outlined a termination of the Indian Act and an end to the paternalistic relationship between Indigenous peoples and the Federal government. Many Indigenous tribes across Canada supported this protest action and organized rallies opposing the Federal government's failure to recognize land claims denied during the assimilation period. In Western Canada, a generation of emerging Indigenous leaders rose to prominence in politics. Many leaders of the United Native Nations' organization, George Manuel of the National Indian Brotherhood and Art Manual of the National Indian Youth Council called chiefs from across the country to a conference in Edmonton to discuss the action and the importance of Indigenous rights and lands with government. The conference was a success with over 140 chiefs participating and it resulted in the formation of the Union of British Columbia Indian Chiefs, an organization dedicated to the protection of band lands."
25892855,"Stenorrhynchos spathaceum (Hook & Arn.) Rchb. - Mexico, Cuba, Honduras, Peru, Brazil"
29982444,"Its features include a sleek mirrored acrylic face, a programmable and high-resolution graphical and digital interface, integrated touch sensors with responsive haptics, intuitive gesture controls using simple swipes and motion tracking and compatibility for Mac/PC and seamless data transfer. The device was small, portable and rechargeable USB."
32406191,"The institution has fallen under scrutiny since 1993. The trial is held in Washington or California, America, where Theodore Kaczynski unexpectedly died during the period."
