id,url,title,text
34335512,https://en.wikipedia.org/wiki/Yuknoom%20Ch%CA%BCeen%20II,Yuknoom Chʼeen II,"Yuknoom Chʼeen II (September 11, 600 – 680s), known as Yuknoom the Great, was a Maya ruler of the Kaan kingdom, which had its capital at Calakmul during the Classic Period of Mesoamerican chronology."
43869726,https://en.wikipedia.org/wiki/Rats%20and%20Cats,Rats and Cats,Rats and Cats is a 2007 Australian comedy film directed by Tony Rogers and starring Adam Zwar and Jason Gann.
52082793,https://en.wikipedia.org/wiki/Corinne%20Lagache,Corinne Lagache,Corinne Lagache  (born 9 December 1975 in Caen) is a French footballer who played as a goalkeeper for the France women's national football team. She was part of the team at the UEFA Women's Euro 2001. On club level she played for La Roche ESOF in France.
8273434,https://en.wikipedia.org/wiki/North%20Macedonia%20men%27s%20national%20handball%20team,North Macedonia men's national handball team,"World Cup For the World cup 1995 only teams from EURO 1994 qualified so again team Macedonian did not get a chance to participate.  At the World Cup's they entered 8 times – 1999, 2009, 2013, 2015, 2017, 2019, 2021 and 2023. The most successful was in 2015 when they finished 9th."
37897173,https://en.wikipedia.org/wiki/Scopula%20inactuosa,Scopula inactuosa,Scopula inactuosa is a moth of the  family Geometridae. It is found on Sumbawa.
28985107,https://en.wikipedia.org/wiki/Ashleys%20Copse,Ashleys Copse,"The site is to the northeast of the village of Middle Winterslow, and falls mostly within the county of Hampshire, and partly within the county of Wiltshire."
29512629,https://en.wikipedia.org/wiki/Gruvleflesa%20Knolls,Gruvleflesa Knolls,"The Gruvleflesa Knolls () are two low rock knolls rising above the Antarctic glacial moraine west of the Gruvletindane Crags, in the Kurze Mountains of Queen Maud Land. They were mapped from surveys and air photos by the Sixth Norwegian Antarctic Expedition (1956–60) and named Gruvleflesa."
65425941,https://en.wikipedia.org/wiki/August%20Merges,August Merges,"In 1906 he was finally able to abandon tailoring work, becoming instead a salaried party official, working in nearby Hildesheim and Alfeld. Two years later, in 1908, he was elected to membership of the Delligsen municipal council. He was by now gaining a reputation in the region as an effective political orator (or ""agitator""). He took a leading role in Labour movement demonstrations, campaigning powerfully for democratic state elections, which meant campaigning against the infamous ""Dreiklassenwahlrecht"" (literally ""Three-class voting entitlement""), whereby the 80% of voters paying the lowest amounts in tax had the same levels of influence in election results as the richest 5% paying the highest amounts.  (The precise proportions varied slightly over time according to tax rates and levels of prosperity, but the underlying inequality would endure till 1918.)"
40673733,https://en.wikipedia.org/wiki/Patricia%20Cladis,Patricia Cladis,"Patricia Elisabeth Cladis (July 13, 1937 – July 3, 2017) was a Canadian-American physicist who specialized in the physics of liquid crystals. She was a research physicist at Bell Labs in Murray Hill, New Jersey from 1972 to 1997 before founding Advanced Liquid Crystal Technologies in Summit, New Jersey. She was a fellow of the American Physical Society and also received a Guggenheim fellowship."
357414,https://en.wikipedia.org/wiki/North%20American%20Bus%20Industries,North American Bus Industries,"2008 also saw additional expansion at NABI's Anniston plant with the installation of a new, robotic paint system. This expansion took the Anniston plant to approximately 1/3 million square feet under roof, not including adjacent leased facilities used for manufacture of standard-floor unfinished buses."
37933082,https://en.wikipedia.org/wiki/2012%20FINA%20World%20Swimming%20Championships%20%2825%20m%29%20%E2%80%93%20Men%27s%20100%20metre%20butterfly,2012 FINA World Swimming Championships (25 m) – Men's 100 metre butterfly,"Prior to this competition, the existing world and championship records were as follows."
17737077,https://en.wikipedia.org/wiki/Cricklade%20Town%20Bridge,Cricklade Town Bridge,"Cricklade Town Bridge is a road bridge at Cricklade, Wiltshire, England across the River Thames. It is a Grade II listed building."
39299950,https://en.wikipedia.org/wiki/2007%E2%80%9308%20SK%20Rapid%20Wien%20season,2007–08 SK Rapid Wien season,The 2007–08 SK Rapid Wien season is the 110th season in club history.
28017802,https://en.wikipedia.org/wiki/1997%20FIBA%20Europe%20Under-16%20Championship,1997 FIBA Europe Under-16 Championship,"The 1997 FIBA Europe Under-16 Championship (known at that time as 1997 European Championship for Cadets) was the 14th edition of the FIBA Europe Under-16 Championship. The cities of Pepinster, Kortrijk and Quaregnon, in Belgium, hosted the tournament. Yugoslavia won the trophy for the sixth time, the first since the breakup of Yugoslavia."
27014228,https://en.wikipedia.org/wiki/Gachie,Gachie,"Gachie is a locality in Kihara ward, Kiambaa constituency, Kiambu county. It is located in Kenya's Kiambu County approximately  from the Nairobi CBD. It neighbors the affluent Nyari Estate. Gachie is named after one of its first settlers and a son of Kihara."
27580589,https://en.wikipedia.org/wiki/Derrahi%20Bousselah,Derrahi Bousselah,"Derrahi Bousselah is a town and commune in Mila Province, Algeria. At the 1998 census it had a population of 10417."
60224171,https://en.wikipedia.org/wiki/Klaus%20Eyferth,Klaus Eyferth,"Klaus Eyferth (9 November 1928 – 19 July 2012) was a German psychologist. He was educated at the University of Hamburg, from which he received his diploma in 1954, his doctorate in 1957, and his habilitation in 1964. While at the University of Hamburg, he conducted a study on the IQ scores of the German-raised children of black and white American soldiers stationed in Allied-occupied Germany. This study has since become known as the Eyferth study. In 1973, he joined the faculty of the Technical University of Berlin, where he went on to help establish the Institute for Psychology. A member of the German Psychological Society, he hosted its 1988 conference in Berlin. In 1995, he retired from the Technical University of Berlin; he became an emeritus professor there the following year. He died on 19 July 2012, at the age of 83."
6850592,https://en.wikipedia.org/wiki/Union%20of%20British%20Columbia%20Indian%20Chiefs,Union of British Columbia Indian Chiefs,"In 1969, then Prime Minister Pierre Trudeau and Minister of Indian Affairs Jean Chrétien released a policy document officially entitled Statement of the Government of Canada on Indian policy. Better known as the White Paper, this policy proposed a dismantling of the Indian Act and an end to the special relationship between Indigenous Peoples and the Canadian Government. Many Indigenous groups across Canada protested this policy change and expressed concern regarding the Canadian Government's failure to incorporate feedback raised during the consultation process. In British Columbia, a generation of emerging Indigenous leaders began to organize in response. Rose Charlie of the Indian Homemakers' Association, Philip Paul of the Southern Vancouver Island Tribal Federation and Don Moses of the North American Indian Brotherhood invited bands from across the province to a conference in Kamloops to discuss the policy and the recognition of Aboriginal title and rights more generally. The conference was a success with over 140 bands represented and it resulted in the formation of the Union of British Columbia Indian Chiefs, an organization dedicated to the resolution of land claims."
25892855,https://en.wikipedia.org/wiki/Uncifera,Uncifera,"Uncifera lancifolia (King & Pantl.) Schltr. - Vietnam, Assam, Bhutan, Nepal, Sikkim"
29982444,https://en.wikipedia.org/wiki/Orient%20Square,Orient Square,"Its features include a fully unitized curtain wall, a computerized and comprehensive building and facility management, centralized cooling system with individual control, powerful communication facilities using fiber optics and digital technology and provision for LAN/DATA and efficient lift management. The building use as office, commercial and residential use."
32406191,https://en.wikipedia.org/wiki/International%20Johannes%20Brahms%20Competition,International Johannes Brahms Competition,"The competition has taken place annually since 1993. The event is held in Pörtschach am Wörthersee, Austria, where Johannes Brahms occasionally stayed during the summer."
29630332,https://en.wikipedia.org/wiki/Belle%20Femme,Belle Femme,"A recuperating Eli identifies the D'Alessio brothers as the culprits in the casino robbery. Margaret meets Nan Britton; Nan explains how she and Senator Harding met and how, in order for him to win the upcoming presidential election, he cannot acknowledge their relationship or even provide financial support for their daughter. The two women go to Madame Jeunet's to buy a dress for Nan. Jeunet asks Margaret to talk Nucky into reducing the amount of protection money she has to pay him. At first, Margaret broaches the issue directly, but this only angers Nucky. Taking a different tack, she then tells Nucky she is worried about not looking good for him if Jeunet leaves. Margaret then collects a favor from Jeunet for helping her: a fine new dress at no charge."
14036561,https://en.wikipedia.org/wiki/Constitution%20of%20Botswana,Constitution of Botswana,"This section details rules and regulations regarding public service. This section states anything not stated in the constitution or by an act of Parliament will be under the jurisdiction of the President. There will also be a Public Service Commission of 2-4 members serving 3 year terms. This commission hears all appeals of public servants who have been removed from their position and would like to return to it. If a person disagrees with the ruling of this commission they may appeal directly to the President. The President is allowed to appoint or remove people to or from: Ambassador, High Commissioner, Secretary to the Cabinet, Attorney-General, Director of Public Prosecutions, Permanent Secretary, Commissioner of Police, and f. any other superscale office. This section also establishes 5 year renewable terms for the Director of Public Prosecutions as well as establishes a 60 year age limit for the Director of Public Prosecutions and the Auditor-General. Finally, this section protects pre-existing pensions for people receiving pension before the creation of the Constitution."
40861101,https://en.wikipedia.org/wiki/Listed%20buildings%20in%20Willaston%2C%20Cheshire%20West,"Listed buildings in Willaston, Cheshire West","Willaston is a village in the unitary authority of Cheshire West and Chester, England. In and around the village are 16 buildings that are recorded in the National Heritage List for England as designated listed buildings.  Of these, one is listed at Grade II*, the middle grade, and the others are at Grade II.  Most of the listed buildings are houses, or farms with associated structures; the other buildings include the village church, a former windmill converted for domestic use, a war memorial, and a former railway station used as a visitor centre."
23660823,https://en.wikipedia.org/wiki/Ulochora,Ulochora,"Ulochora is a monotypic moth genus in the family Cosmopterigidae described by Edward Meyrick in 1920. It contains only one species, Ulochora streptosema, described by the same author in the same year, which is found in Fiji."
